value,ioc_type,first_seen,last_seen,malware,threat_type,reporter,features.confidence,features.has_malware,features.ioc_type,features.threat_type,features.days_since_first_seen
mix.cofidyu58.ru,domain,2025-09-14 11:23:31,2025-09-14 07:13:25,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
147.185.221.223:22628,ip,2025-09-14 12:00:21,,win.xworm,botnet_cc,abuse_ch,100,1,,,
http://ghetto5f.beget.tech/4ca6eb60.php,url,2025-09-14 11:30:06,,win.dcrat,botnet_cc,abuse_ch,100,1,,,
23.226.54.63:7001,ip,2025-09-14 12:01:47,2025-09-15 04:00:11,win.cobalt_strike,botnet_cc,DonPasci,100,1,,,
118.193.45.238:80,ip,2025-09-14 12:01:46,2025-09-15 04:00:09,win.cobalt_strike,botnet_cc,DonPasci,100,1,,,
223.ip.gl.ply.gg,domain,2025-09-14 12:01:50,,win.xworm,botnet_cc,DonPasci,100,1,,,
killkill.myftp.biz,domain,2025-09-14 12:01:50,,win.xworm,botnet_cc,DonPasci,100,1,,,
51.222.16.166:2405,ip,2025-09-14 12:02:04,2025-09-15 13:48:47,win.remcos,botnet_cc,DonPasci,100,1,,,
cnn9001.duckdns.org,domain,2025-09-14 12:01:56,,win.remcos,botnet_cc,DonPasci,100,1,,,
167.86.89.37:3190,ip,2025-09-14 12:02:05,2025-09-15 13:45:15,win.remcos,botnet_cc,DonPasci,100,1,,,
160.250.133.235:2404,ip,2025-09-14 12:02:04,2025-09-15 13:44:52,win.remcos,botnet_cc,DonPasci,100,1,,,
147.45.219.51:4449,ip,2025-09-14 12:02:28,,win.venom,botnet_cc,DonPasci,100,1,,,
195.10.205.181:8082,ip,2025-09-14 12:02:25,2025-09-15 04:00:32,apk.hook,botnet_cc,DonPasci,100,1,,,
103.176.197.104:53,ip,2025-09-14 12:03:05,,win.valley_rat,botnet_cc,DonPasci,100,1,,,
137.220.154.104:8081,ip,2025-09-14 12:02:30,2025-09-15 04:00:44,win.dcrat,botnet_cc,DonPasci,100,1,,,
103.176.197.104:90,ip,2025-09-14 12:03:06,,win.valley_rat,botnet_cc,DonPasci,100,1,,,
103.176.197.104:80,ip,2025-09-14 12:03:06,,win.valley_rat,botnet_cc,DonPasci,100,1,,,
pin.cewyzui61.ru,domain,2025-09-14 12:14:03,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
an.k5b2q.ru,domain,2025-09-14 12:14:03,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
pick.cewyzui61.ru,domain,2025-09-14 12:14:04,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
year.cewyzui61.ru,domain,2025-09-14 12:14:04,,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
u.r0z8r.ru,domain,2025-09-14 12:30:52,2025-09-14 17:17:08,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
aa.q1s6c.ru,domain,2025-09-14 12:30:24,2025-09-14 13:59:23,js.clearfake,payload_delivery,threatcat_ch,100,1,,,
104.21.70.94:8880,ip,2025-09-14 12:51:31,2025-09-15 13:50:51,win.cobalt_strike,botnet_cc,abuse_ch,75,1,,,
madibase.tech,domain,2025-09-14 12:50:50,2025-09-15 13:50:18,win.cobalt_strike,botnet_cc,abuse_ch,75,1,,,
111.230.93.148:9001,ip,2025-09-14 12:51:56,2025-09-15 13:51:06,win.cobalt_strike,botnet_cc,abuse_ch,75,1,,,
172.67.222.121:8880,ip,2025-09-14 12:53:14,2025-09-15 13:52:10,win.cobalt_strike,botnet_cc,abuse_ch,75,1,,,
159.75.37.212:9001,ip,2025-09-14 12:53:08,2025-09-15 13:52:05,win.cobalt_strike,botnet_cc,abuse_ch,75,1,,,
64.227.126.123:8443,ip,2025-09-14 12:54:33,2025-09-15 13:53:15,win.cobalt_strike,botnet_cc,abuse_ch,75,1,,,
193.112.233.57:443,ip,2025-09-14 12:53:26,2025-09-15 13:52:19,win.cobalt_strike,botnet_cc,abuse_ch,75,1,,,
https://yletqltdnra.zp/gateway/iug4o6dc.wsxon,url,2025-09-14 13:29:35,,win.rhadamanthys,botnet_cc,mazznrz,100,1,,,
70.51.217.95:4444,ip,2025-09-14 12:54:36,2025-09-15 13:53:16,win.meterpreter,botnet_cc,abuse_ch,75,1,,,
