value,ioc_type,first_seen,last_seen,malware,threat_type,reporter,features.confidence,features.has_malware,features.ioc_type,features.threat_type,features.days_since_first_seen,features.days_since_last_seen,features.seen_duration_days,domain_tld,domain_length,domain_digits,domain_hyphens,ip_octets,ip_port
94.99.102.172:452,ip,2025-09-16 05:19:22,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,452
94.99.102.172:2332,ip,2025-09-16 05:19:22,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,2332
94.99.102.172:8069,ip,2025-09-16 05:19:22,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8069
94.99.102.172:9026,ip,2025-09-16 05:19:22,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9026
94.99.102.172:7443,ip,2025-09-16 05:19:23,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,7443
94.99.102.172:3100,ip,2025-09-16 05:19:23,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,3100
94.99.102.172:32764,ip,2025-09-16 05:19:23,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,32764
94.99.102.172:8149,ip,2025-09-16 05:19:23,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8149
94.99.102.172:9169,ip,2025-09-16 05:19:24,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9169
94.99.102.172:5439,ip,2025-09-16 05:19:24,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,5439
94.99.102.172:12414,ip,2025-09-16 05:19:24,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,12414
94.99.102.172:4401,ip,2025-09-16 05:19:24,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,4401
94.99.102.172:16032,ip,2025-09-16 05:19:25,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,16032
94.99.102.172:3030,ip,2025-09-16 05:19:25,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,3030
94.99.102.172:8573,ip,2025-09-16 05:19:25,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8573
94.99.102.172:16888,ip,2025-09-16 05:19:25,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,16888
94.99.102.172:3953,ip,2025-09-16 05:19:25,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,3953
94.99.102.172:8126,ip,2025-09-16 05:19:26,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8126
94.99.102.172:12549,ip,2025-09-16 05:19:25,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,12549
94.99.102.172:44303,ip,2025-09-16 05:19:26,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,44303
94.99.102.172:20256,ip,2025-09-16 05:19:26,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,20256
94.99.102.172:5555,ip,2025-09-16 05:19:26,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,5555
94.99.102.172:9222,ip,2025-09-16 05:19:26,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9222
94.99.102.172:55000,ip,2025-09-16 05:19:26,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,55000
94.99.102.172:8641,ip,2025-09-16 05:19:27,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8641
94.99.102.172:9000,ip,2025-09-16 05:19:27,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9000
94.99.102.172:20001,ip,2025-09-16 05:19:27,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,20001
94.99.102.172:6007,ip,2025-09-16 05:19:27,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,6007
94.99.102.172:8606,ip,2025-09-16 05:19:27,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8606
94.99.102.172:8649,ip,2025-09-16 05:19:28,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8649
94.99.102.172:3110,ip,2025-09-16 05:19:28,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,3110
94.99.102.172:45886,ip,2025-09-16 05:19:28,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,45886
94.99.102.172:3097,ip,2025-09-16 05:19:28,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,3097
94.99.102.172:1025,ip,2025-09-16 05:19:28,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,1025
94.99.102.172:9550,ip,2025-09-16 05:19:29,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9550
94.99.102.172:18108,ip,2025-09-16 05:19:29,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,18108
94.99.102.172:10022,ip,2025-09-16 05:19:29,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,10022
94.99.102.172:12371,ip,2025-09-16 05:19:30,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,12371
94.99.102.172:10533,ip,2025-09-16 05:19:30,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,10533
94.99.102.172:8873,ip,2025-09-16 05:19:30,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8873
94.99.102.172:4443,ip,2025-09-16 05:19:30,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,4443
94.99.102.172:10081,ip,2025-09-16 05:19:31,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,10081
94.99.102.172:2133,ip,2025-09-16 05:19:30,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,2133
94.99.102.172:9209,ip,2025-09-16 05:19:31,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9209
94.99.102.172:37,ip,2025-09-16 05:19:31,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,37
94.99.102.172:6602,ip,2025-09-16 05:19:31,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,6602
94.99.102.172:21304,ip,2025-09-16 05:19:31,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,21304
94.99.102.172:806,ip,2025-09-16 05:19:32,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,806
94.99.102.172:8147,ip,2025-09-16 05:19:31,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8147
94.99.102.172:4321,ip,2025-09-16 05:19:32,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,4321
94.99.102.172:9998,ip,2025-09-16 05:19:32,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9998
94.99.102.172:3116,ip,2025-09-16 05:19:32,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,3116
94.99.102.172:12574,ip,2025-09-16 05:19:32,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,12574
94.99.102.172:32101,ip,2025-09-16 05:19:32,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,32101
94.99.102.172:17772,ip,2025-09-16 05:19:33,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,17772
94.99.102.172:1970,ip,2025-09-16 05:19:32,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,1970
94.99.102.172:2226,ip,2025-09-16 05:19:33,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,2226
94.99.102.172:11,ip,2025-09-16 05:19:33,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,11
94.99.102.172:8026,ip,2025-09-16 05:19:33,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8026
94.99.102.172:2567,ip,2025-09-16 05:19:33,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,2567
94.99.102.172:5998,ip,2025-09-16 05:19:34,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,5998
94.99.102.172:9186,ip,2025-09-16 05:19:33,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9186
94.99.102.172:21001,ip,2025-09-16 05:19:34,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,21001
94.99.102.172:12269,ip,2025-09-16 05:19:34,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,12269
94.99.102.172:44300,ip,2025-09-16 05:19:34,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,44300
94.99.102.172:9004,ip,2025-09-16 05:19:34,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,9004
94.99.102.172:8083,ip,2025-09-16 05:19:35,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,8083
94.99.102.172:7018,ip,2025-09-16 05:19:34,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,7018
94.99.102.172:440,ip,2025-09-16 05:19:35,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,440
94.99.102.172:21314,ip,2025-09-16 05:19:35,,win.extreme_rat,botnet_cc,juroots,50,1,ip,botnet_cc,0,0,,,,,,4,21314
